Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Dentsu,L5,Product,105000,"New York, NY ",2022-03-03,4.0,0,105000.0, N/A , N/A
Lyft,L5,,450000,"San Francisco, CA ",2022-03-02,0.0,0,190000.0, 260000 , N/A
Visa,Rotational,Product,107000,"Foster City, CA ",2022-03-01,0.0,0,92000.0, N/A , 15000
Visa,L2,Product,96000,"Foster City, CA ",2022-02-28,0.0,0,92000.0, 2000 , 2000
Capital One,59,Product,102000,"New York, NY ",2022-02-22,0.0,0,98000.0, N/A , 4000
Expedia,L1,Product,163000,"Seattle, WA ",2022-02-19,0.0,0,108000.0, 40000 , 15000
Microsoft,59,Operations,158000,"Seattle, WA ",2022-02-18,0.0,0,111000.0, 30000 , 17000
Microsoft,59,Product,178000,"Redmond, WA ",2022-02-10,0.0,0,113000.0, 30000 , 35000
Microsoft,59,Product,201000,"New York, NY ",2022-02-10,0.0,0,121000.0, 43000 , 37000
Amazon,Senior Product Manager,Product,189000,"Seattle, WA ",2022-02-07,0.0,0,144000.0, 45000 , N/A
Microsoft,59,Product,214000,"Seattle, WA ",2022-02-05,0.0,0,121000.0, 43000 , 50000
Microsoft,59,Product,175000,"Redmond, WA ",2022-01-31,0.0,0,115000.0, 30000 , 30000
Microsoft,59,Product,141000,"Redmond, WA ",2022-01-31,0.0,0,111000.0, 18000 , 12000
Microsoft,60,Product,171000,"Redmond, WA ",2022-01-28,0.0,0,122000.0, 37000 , 12000
Microsoft,59,Product,179000,"Redmond, WA ",2022-01-19,0.0,0,113000.0, 30000 , 36000
Microsoft,59,Product,168000,"Redmond, WA ",2022-01-11,0.0,0,113000.0, 30000 , 25000
Microsoft,59,Technical,153000,"Seattle, WA ",2022-01-07,0.0,0,113000.0, 20000 , 20000
Microsoft,59,Technical,173000,"Redmond, WA ",2022-01-06,0.0,0,111000.0, 38000 , 25000
Alteryx,L1,Product,134000,"Broomfield, CO ",2022-01-03,0.0,0,110000.0, 13000 , 11000
Datadog,L1,Technical,225000,"New York, NY ",2021-12-30,0.0,0,135000.0, 40000 , 50000
Intuit,PM 1,Product,160000,"Mountain View, CA ",2021-12-22,0.0,0,125000.0, 23000 , 13000
Microsoft,59,Product,203000,"Bellevue, WA ",2021-12-19,0.0,0,113000.0, 30000 , 60000
Microsoft,59,Technical,179000,"Redmond, WA ",2021-12-17,0.0,0,121000.0, 33000 , 25000
Microsoft,59,Product,180000,"Redmond, WA ",2021-12-16,0.0,0,113000.0, 43000 , 25000
Datadog,New Grad,Product,215000,"New York, NY ",2021-12-15,0.0,0,130000.0, 40000 , 45000
LinkedIn,Associate Product Manager,Product,200000,"Sunnyvale, CA ",2021-12-12,0.0,0,140000.0, 50000 , 10000
Microsoft,59,Product,160000,"Redmond, WA ",2021-12-09,0.0,0,113000.0, 30000 , 18000
Microsoft,59,Product,167000,"San Francisco, CA ",2021-12-09,0.0,0,120000.0, 30000 , 17000
Capital One,Associate,Product,112000,"New York, NY ",2021-12-07,0.0,0,103000.0, N/A , 9000
Apple,L2,Product,160000,"Cupertino, CA ",2021-12-06,0.0,0,130000.0, 20000 , 10000
Microsoft,L60,Product,164000,"Bellevue, WA ",2021-12-06,0.0,0,121000.0, 33000 , 10000
Microsoft,59,Product,161000,"Seattle, WA ",2021-12-05,0.0,0,113000.0, 28000 , 20000
Coinbase,L3,Product,192000,"New York, NY ",2021-11-29,0.0,0,135000.0, 50000 , 7000
Microsoft,59,Product,161000,"Seattle, WA ",2021-11-27,0.0,0,113000.0, 38000 , 11000
PwC,Associate,Technical,93000,"Seattle, WA ",2021-11-26,0.0,0,85000.0, N/A , 8000
Intuit,PM 1,Product,134000,"Mountain View, CA ",2021-11-21,0.0,0,115000.0, 19000 , N/A
Palo Alto Networks,APM,Product,182000,"Santa Clara, CA ",2021-11-19,0.0,0,140000.0, 25000 , 17000
Datadog,New Grad,Product,215000,"New York, NY ",2021-11-16,0.0,0,130000.0, 35000 , 50000
Microsoft,59,Infrastructure,168000,"Seattle, WA ",2021-11-16,0.0,0,113000.0, 30000 , 25000
Redfin,PM 1,Product,126000,"Seattle, WA ",2021-11-15,0.0,0,105000.0, 16000 , 5000
