Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Slalom,Entry Level,Operations,69000,"Seattle, WA ",2022-03-07,1,1,60000.0, N/A , 9000
Microsoft,59,Operations,108000,"Seattle, WA ",2022-03-07,1,1,104000.0, 4000 , N/A
Robinhood,L2,Operations,101000,"San Francisco, CA ",2022-02-28,1,1,89000.0, 3000 , 9000
Amazon,L4,recruiting,61000,"New York, NY ",2022-02-04,1,1,59000.0, 2000 , N/A
Amazon,L2,University,90000,"San Francisco, CA ",2022-01-05,1,1,70000.0, 10000 , 10000
Amazon,L4,Technical,75000,"Seattle, WA ",2022-01-01,1,1,59000.0, 10000 , 6000
,0,Professional Services,47000,"Bellevue, WA ",2021-12-17,0,1,41000.0, N/A , 6000
Microsoft,0,University,60000,"Seattle, WA ",2021-12-17,0,1,60000.0, N/A , N/A
Better Mortgage,L3,Sourcing,90000,"New York, NY ",2021-12-05,1,1,87000.0, N/A , 3000
Google,L3,Technical,110000,"Mountain View, CA ",2021-11-23,1,1,110000.0, N/A , N/A
Facebook,IC3,Leadership,112000,"Menlo Park, CA ",2021-11-22,0,1,95000.0, 7000 , 10000
Microsoft,58,University,96000,"Seattle, WA ",2021-09-03,1,1,83000.0, 4000 , 9000
PlayVS,l1,Technical,71000,"Los Angeles, CA ",2021-05-10,1,1,60000.0, 1000 , 10000
,L3,Recruiting,100000,"New York, NY ",2020-11-18,1,1,60000.0, 20000 , 20000
,L2,Technical,90000,"New York, NY ",2020-10-27,1,1,90000.0, N/A , 2000
Mitchell Martin,Junior,Full Stack,60000,"New York, NY ",2020-10-25,1,1,60000.0, N/A , N/A
Amazon,L4,Distributed Systems (Back-End),110000,"New York, NY ",2020-09-02,1,1,80000.0, 30000 , N/A
Roku,Support,Leadership,105000,"San Jose, CA ",2020-02-27,4,1,100000.0, 5000 , N/A
Facebook,IC4,Technical,160000,"Boston, MA ",2022-03-03,5,10,130000.0, 15000 , 15000
Facebook,IC4,Operations,185000,"Palo Alto, CA ",2022-02-24,1,10,145000.0, 20000 , 20000
Amazon,L6,Technical,210000,"Seattle, WA ",2022-02-12,3,10,160000.0, 50000 , N/A
LinkedIn,L5,Leadership,200000,"Austin, TX ",2022-02-04,1,10,150000.0, 25000 , 25000
Compass,IC3,Operations,95000,"Seattle, WA ",2022-02-04,3,10,80000.0, N/A , 15000
Twitter,L6,Technical,192000,"Seattle, WA ",2022-02-03,1,10,135000.0, 30000 , 27000
Redfin,L3,Technical,130000,"Seattle, WA ",2022-01-24,1,10,115000.0, N/A , 15000
Chewy,C06,Leadership,190000,"Boston, MA ",2022-01-17,3,10,140000.0, 50000 , N/A
Okta,L4,Technical,165000,"San Francisco, CA ",2021-12-17,1,10,130000.0, 22000 , 13000
Uber,L5,Technical,205000,"San Francisco, CA ",2021-12-16,2,10,155000.0, 30000 , 20000
Cruise,L5,Technical,240000,"San Francisco, CA ",2021-12-12,3,10,175000.0, 13000 , 52000
Starbucks,23,Non tech,108000,"Seattle, WA ",2021-12-09,3,10,99000.0, 4000 , 5000
LinkedIn,5,Leadership,207000,"San Francisco, CA ",2021-12-08,3,10,158000.0, 25000 , 24000
Carbon,P4,Technical,205000,"Redwood City, CA ",2021-12-03,1,10,170000.0, 35000 , N/A
,L3,Technical,135000,"San Francisco, CA ",2021-11-24,1,10,135000.0, N/A , N/A
