Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Wish,L2,,90000,"San Francisco, CA ",2022-03-08,1,1,90000.0, N/A , N/A
,Entry,Software,45000,"New York, NY ",2022-02-24,1,1,45000.0, N/A , N/A
Amazon,L4,B2B,136000,"Seattle, WA ",2022-02-10,0,1,83000.0, 32000 , 21000
Dell Technologies,L1,General,82000,"Austin, TX ",2022-02-08,1,1,82000.0, N/A , N/A
Cisco,L8,Appdynamics Sales Engineer,151000,"New York, NY ",2022-02-07,1,1,113000.0, N/A , 38000
NetSuite,L2,Sales,120000,"Austin, TX ",2022-02-03,1,1,60000.0, N/A , 60000
Okta,L1,"sales,",67000,"Chicago, IL ",2022-01-18,1,1,40000.0, 7000 , 20000
NBCUniversal,1,General,42000,"New York, NY ",2022-01-06,1,1,42000.0, N/A , N/A
Google,L3,Looker,116000,"New York, NY ",2021-12-26,0,1,73000.0, 11000 , 32000
IBM,Band 6,Data & AI,123000,"New York, NY ",2021-12-23,1,1,95000.0, N/A , 28000
SAP,T1,General,120000,"San Francisco, CA ",2021-11-22,1,1,100000.0, 10000 , 10000
Amazon,L4,Demand Generation,121000,"Seattle, WA ",2021-11-15,1,1,75000.0, 26000 , 20000
Outreach,L2,Solutions Consultant,115000,"Seattle, WA ",2021-11-02,1,1,81000.0, N/A , 35000
Oracle,IC-2,SaaS,67000,"Santa Monica, CA ",2021-10-31,1,1,52000.0, N/A , 15000
Facebook,IC2,General,85000,"Austin, TX ",2021-09-16,0,1,60000.0, 5000 , 20000
Faire,L3,General,230000,"San Francisco, CA ",2021-09-15,1,1,130000.0, 100000 , N/A
Booking Holdings,L1,Account Management,55000,"New York, NY ",2021-08-20,1,1,55000.0, N/A , N/A
Amazon,L4,"Strategic Account Services, Retail",107000,"Seattle, WA ",2021-04-08,0,1,63000.0, 31000 , 13000
Oracle,L1,Sales,50000,"Redwood City, CA ",2021-04-05,1,1,45000.0, N/A , 5000
Highspot,1,Sales,40000,"Seattle, WA ",2020-11-21,1,1,40000.0, N/A , N/A
Ironclad,Business Development Representative (Entry Level Role),Sales,80000,"San Francisco, CA ",2020-11-16,1,1,80000.0, N/A , N/A
,L4,Cloud,121000,"Seattle, WA ",2020-11-03,0,1,75000.0, 5000 , 41000
Samsara,ADR II,Sales,100000,"San Francisco, CA ",2020-10-31,1,1,75000.0, 3000 , 25000
Oracle,L1,Consumer,50000,"Burlington, MA ",2020-10-29,1,1,50000.0, N/A , N/A
Headspace,BDR,Mobile (iOS + Android),83000,"Los Angeles, CA ",2020-09-29,1,1,60000.0, 3000 , 20000
Glassdoor,L1,Enterprise,57000,"Chicago, IL ",2020-09-28,1,1,57000.0, N/A , N/A
Oracle,SDR,Cloud,78000,"Santa Monica, CA ",2020-09-25,1,1,50000.0, N/A , 23000
Tipalti,SDR,Sales Development,85000,"San Mateo, CA ",2020-09-15,1,1,60000.0, N/A , 25000
ByteDance,L1,Operations,150000,"Seattle, WA ",2020-09-05,1,1,125000.0, 25000 , N/A
HubSpot,BDR,Sales,50000,"Cambridge, MA ",2020-08-27,0,1,50000.0, 2000 , N/A
Cloudflare,L1,Networking,93000,"San Francisco, CA ",2020-08-10,1,1,60000.0, 10000 , 23000
Amazon,L4,iOS,150000,"Seattle, WA ",2020-08-01,1,1,100000.0, 50000 , N/A
Check Point Software Technologies,Associate,Sales,97000,"San Francisco, CA ",2020-05-07,1,1,70000.0, N/A , 27000
Amazon,L4,Full Stack,130000,"Seattle, WA ",2020-02-24,1,1,80000.0, 20000 , 30000
Amazon,L6,,237000,"Seattle, WA ",2022-03-08,3,10,128000.0, 109000 , N/A
Spotify,L4,General,105000,"New York, NY ",2022-02-23,4,10,105000.0, N/A , N/A
Google,L6,Partnership Manager,300000,"Sunnyvale, CA ",2022-02-21,5,10,200000.0, 50000 , 50000
Amazon,L5,Advertising,186000,"New York, NY ",2022-02-11,1,10,138000.0, 38000 , 10000
Amazon,L7,"Retail, e-commerce",300000,"Seattle, WA ",2022-02-11,4,10,160000.0, 140000 , N/A
Salesforce,L4,Tableau,220000,"San Francisco, CA ",2022-02-05,0,10,150000.0, 5000 , 65000
Facebook,IC5,In Market,260000,"New York, NY ",2022-02-04,5,10,170000.0, 35000 , 55000
Amazon,L7,Sales Operations,290000,"Seattle, WA ",2022-02-01,4,10,160000.0, 130000 , N/A
Amazon,L5,DSP,180000,"Palo Alto, CA ",2022-01-31,2,10,110000.0, 50000 , 20000
Amazon,L5,General,165000,"Seattle, WA ",2022-01-24,10,10,85000.0, 40000 , 40000
Google,L7,Cloud,480000,"Sunnyvale, CA ",2022-01-22,2,10,205000.0, 70000 , 205000
Google,L6,Google Cloud,388000,"New York, NY ",2021-12-19,3,10,187000.0, 77000 , 124000
Google,L6,Ad Sales,407000,"New York, NY ",2021-12-17,10,10,187000.0, 80000 , 140000
LinkedIn,L2,Advertising,254000,"San Francisco, CA ",2021-12-13,7,10,127000.0, N/A , 127000
Salesforce,L7,Pre-sales,243000,"Boston, MA ",2021-12-13,3,10,156000.0, 20000 , 67000
Amazon,L6,sales,352000,"San Francisco, CA ",2021-12-12,0,10,172000.0, 50000 , 130000
Google,L6,LCS,353000,"Boston, MA ",2021-12-08,8,10,147000.0, 99000 , 107000
Qualtrics,Director of Engineering,General,275000,"Chicago, IL ",2021-11-21,0,10,200000.0, 25000 , 50000
Google,L5,Programmatic/platforms,285000,"New York, NY ",2021-11-16,8,10,161000.0, 31000 , 93000
Microsoft,66,Account,560000,"Austin, TX ",2021-11-15,6,10,200000.0, 110000 , 250000
