Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Facebook,L3,Internationalization,135000,"Menlo Park, CA ",2021-11-27,0.0,0,110000.0, 20000 ,5000
Uber,L3,General,166000,"San Francisco, CA ",2021-11-05,0.0,0,128000.0, 25000 ,13000
Illumina,P01,,81000,"Hayward, CA ",2021-10-31,0.0,0,79000.0, N/A ,2000
Microsoft,59,Machine Learning,158000,"Redmond, WA ",2021-10-29,0.0,0,113000.0, 23000 ,23000
Microsoft,59,Azure,153000,"New York, NY ",2021-10-27,0.0,0,110000.0, 23000 ,20000
Facebook,IC3,General,142000,"Menlo Park, CA ",2021-09-07,0.0,0,110000.0, 20000 ,12000
Microsoft,59,Cloud,171000,"Redmond, WA ",2021-05-28,0.0,0,111000.0, 30000 ,30000
Facebook,L3,Networking,165000,"New York, NY ",2020-11-20,0.0,0,115000.0, 20000 ,30000
Apple,IC3,Production,152000,"San Francisco, CA ",2020-09-14,0.0,0,110000.0, 26000 ,15000
Facebook,IC3,Product,136000,"Menlo Park, CA ",2020-07-27,0.0,0,110000.0, 15000 ,11000
Apple,ICT2,iOS,195000,"Cupertino, CA ",2020-06-15,0.0,0,125000.0, 50000 ,20000
Facebook,IC3,Infrastructure,125000,"Menlo Park, CA ",2020-06-15,0.0,0,100000.0, 15000 ,10000
Microsoft,59,,189000,"Seattle, WA ",2020-04-15,0.0,0,109000.0, 70000 ,10000
Google,L3,General,185000,"Sunnyvale, CA ",2022-01-22,0.0,1,133000.0, 32000 , 20000
ViacomCBS,L2,Privacy,100000,"New York, NY ",2021-11-29,0.0,1,100000.0, N/A , N/A
SAP Concur,T2,Cloud,130000,"Seattle, WA ",2021-11-20,1.0,1,115000.0, 5000 , 10000
Microsoft,60,Azure,150000,"Seattle, WA ",2021-10-18,1.0,1,120000.0, 10000 , 20000
Enfusion,L1,Product Analyst,68000,"Chicago, IL ",2021-10-11,1.0,1,60000.0, N/A , 8000
Microsoft,60,Cyber security,180000,"Redmond, WA ",2021-08-20,1.0,1,120000.0, 40000 , 20000
Microsoft,59,Cloud Hardware Manufacturing,205000,"Redmond, WA ",2021-05-05,1.0,1,110000.0, 70000 , 25000
Facebook,L3,Infrastructure,170000,"Menlo Park, CA ",2021-04-23,0.0,1,110000.0, 40000 , 20000
Facebook,L3,Infra,133000,"Menlo Park, CA ",2021-02-10,1.0,1,116000.0, 15000 , 3000
Amazon,L5,Tech,230000,"Sunnyvale, CA ",2020-11-10,1.0,1,160000.0, 70000 , N/A
Apple,Unkown,Operations,180000,"Cupertino, CA ",2020-10-28,0.0,1,110000.0, 50000 , 20000
Facebook,E3,Infrastructure,160000,"Menlo Park, CA ",2020-09-24,1.0,1,120000.0, 25000 , 15000
Facebook,E3,Infrastructure,160000,"Menlo Park, CA ",2020-09-24,1.0,1,120000.0, 25000 , 15000
Sisense,L1,Full Stack,120000,"San Francisco, CA ",2020-09-10,1.0,1,120000.0, N/A , N/A
Microsoft,60,ML / AI,175000,"Seattle, WA ",2020-08-27,1.0,1,121000.0, 40000 , 12000
Microsoft,L59,DevOps,141000,"Seattle, WA ",2020-08-18,1.0,1,111000.0, 30000 , N/A
Facebook,L3,Server Infra,200000,"Menlo Park, CA ",2020-08-13,1.0,1,110000.0, 55000 , 30000
Apple,ICT2,Retail Engineering,143000,"Sunnyvale, CA ",2020-07-01,1.0,1,110000.0, 13000 , 20000
Facebook,IC4,Infrastructure,196000,"Menlo Park, CA ",2020-06-15,1.0,1,155000.0, 25000 , 16000
Apple,ICT4,Distributed Systems (Back-End),200000,"Santa Clara, CA ",2020-05-15,0.0,1,175000.0, 15000 , 10000
Microsoft,59,Security,199000,"Redmond, WA ",2020-05-13,1.0,1,109000.0, 70000 , 20000
Chewy,Senior,Analytics,283000,"Seattle, WA ",2022-03-09,0.0,10,180000.0, 85000 , 18000
Coinbase,IC6,,489000,"Seattle, WA ",2022-03-08,0.0,10,222000.0, 200000 , 67000
Google,L5,Program Manager (PgM) - Mobile Engineering,306000,"Mountain View, CA ",2022-02-28,0.0,10,188000.0, 83000 , 35000
Twilio,L4,General,265000,"San Francisco, CA ",2022-02-26,1.0,10,180000.0, 85000 , N/A
Amazon,L7,Alexa,362000,"Seattle, WA ",2022-02-26,6.0,10,160000.0, 202000 , N/A
ByteDance,2,Program,450000,"Mountain View, CA ",2022-02-23,2.0,10,230000.0, 170000 , 50000
Intel,Grade 8,INTEL,205000,"Santa Clara, CA ",2022-02-23,8.0,10,160000.0, 30000 , 15000
Goldman Sachs,L6,Engineering,260000,"New York, NY ",2022-02-21,2.0,10,180000.0, N/A , 80000
American Express,B35,Financing platform,165000,"New York, NY ",2022-02-09,7.0,10,145000.0, 5000 , 15000
