Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Facebook,IC5,,307000,"New York, NY ",2022-03-05,0 , 2,185000 , 88000 , 34000
Facebook,IC5,,312000,"San Francisco, CA ",2022-03-03,2 , 2,193000 , 90000 , 29000
Microsoft,63,ML Research,306000,"Redmond, WA ",2022-03-03,2 , 2,171000 , 109000 , 26000
Nielsen,Senior,Data Science,142000,"Chicago, IL ",2022-03-01,2 , 2,130000 , N/A , 12000
Barracuda Networks,L2,Growth,126000,"San Jose, CA ",2022-02-27,2 , 2,121000 , 5000 , N/A
Oportun,4,general,134000,"San Mateo, CA ",2022-02-26,1 , 2,120000 , 2000 , 12000
Google,L3,General,150000,"San Francisco, CA ",2022-02-25,0 , 2,100000 , 40000 , 10000
Intuit,L4,product analytics,221000,"Mountain View, CA ",2022-02-24,2 , 2,141000 , 60000 , 20000
Facebook,IC4,Product Analytics,254000,"Menlo Park, CA ",2022-02-23,1 , 2,164000 , 65000 , 25000
Disney,P5,Media,129000,"Burbank, CA ",2022-02-22,2 , 2,102000 , 20000 , 7000
Spotify,LV 2,Data Scientist,159000,"New York, NY ",2022-02-22,2 , 2,134000 , 25000 , N/A
Indeed,L2,ML / NN,173000,"Austin, TX ",2022-02-19,2 , 2,136000 , 20000 , 17000
Microsoft,61,Demand Forecasting,226000,"Redmond, WA ",2022-02-17,2 , 2,135000 , 76000 , 15000
ZipRecruiter,2,Product,134000,"Los Angeles, CA ",2022-02-17,1 , 2,108000 , 17000 , 9000
Discover,L6,data,100000,"Chicago, IL ",2022-02-15,2 , 2,95000 , N/A , 5000
VMware,P3,ML,161000,"Palo Alto, CA ",2022-02-15,2 , 2,135000 , 10000 , 16000
Microsoft,61,General,226000,"Bellevue, WA ",2022-02-15,2 , 2,136000 , 40000 , 50000
Ibotta,l4,general,104000,"Denver, CO ",2022-02-10,2 , 2,100000 , 2000 , 2000
Capital One,Principal Associate,Modeling & Analytics,194000,"New York, NY ",2022-02-09,2 , 2,180000 , N/A , 14000
Facebook,IC4,Product,244000,"New York, NY ",2022-02-09,0 , 2,160000 , 60000 , 24000
LiveRamp,2,General,125000,"Boston, MA ",2022-02-09,0 , 2,105000 , 20000 , N/A
Opendoor,L3,General,205000,"Los Angeles, CA ",2022-02-09,2 , 2,130000 , 75000 , N/A
Amazon,L4,General,180000,"Seattle, WA ",2022-02-07,0 , 2,140000 , 26000 , 14000
Capgemini,B1,General,107000,"Los Angeles, CA ",2022-02-07,1 , 2,105000 , N/A , 2000
Etsy,IC3,Machine Learning,230000,"Brooklyn, NY ",2022-02-07,2 , 2,165000 , 50000 , 15000
Wish,L4,"Analytics, Casual Inference",260000,"San Francisco, CA ",2022-02-03,2 , 2,160000 , 100000 , N/A
Amazon,L5,General Data Science,220000,"Seattle, WA ",2022-02-03,0 , 2,145000 , 8000 , 67000
Experian,Senior,General,98000,"Costa Mesa, CA ",2022-01-31,2 , 2,90000 , N/A , 8000
Dell Technologies,I7,Business Intelligence,125000,"Austin, TX ",2022-01-31,0 , 2,117000 , N/A , 8000
Wayfair,L3,Product,121000,"Austin, TX ",2022-01-29,0 , 2,110000 , N/A , 11000
Capital One,Principal,Data Science,174000,"New York, NY ",2022-01-28,1 , 2,164000 , N/A , 10000
PayPal,T24,Risk,156000,"San Jose, CA ",2022-01-25,2 , 2,127000 , 24000 , 5000
Facebook,IC4,product analytics,223000,"Seattle, WA ",2022-01-25,0 , 2,155000 , 45000 , 23000
Facebook,IC3,Infra,198000,"Menlo Park, CA ",2022-01-22,0 , 2,140000 , 33000 , 25000
T-Mobile,L8,Forcasting,162000,"Bellevue, WA ",2022-01-20,0 , 2,118000 , 20000 , 24000
Indeed,L1,General,156000,"San Francisco, CA ",2022-01-20,0 , 2,125000 , 12000 , 19000
CVS Health,Senior,General,147000,"New York, NY ",2022-01-20,2 , 2,130000 , N/A , 17000
Gap,L2,Customer Analytics,144000,"San Francisco, CA ",2022-01-19,2 , 2,134000 , N/A , 10000
Walmart,X4,ML/AI,237000,"Sunnyvale, CA ",2022-01-19,0 , 2,160000 , 45000 , 32000
eBay,24,Shipping,183000,"San Francisco, CA ",2022-01-19,1 , 2,144000 , 25000 , 14000
,L3,Security,150000,"Boston, MA ",2022-01-19,2 , 2,150000 , N/A , N/A
Gap,Associate,Machine Learning,130000,"San Francisco, CA ",2022-01-14,0 , 2,120000 , N/A , 10000
T-Mobile,L8,General,138000,"Bellevue, WA ",2022-01-12,0 , 2,117000 , 3000 , 18000
IBM,7,General,153000,"New York, NY ",2022-01-12,2 , 2,153000 , N/A , N/A
UserTesting,P2,General,135000,"San Francisco, CA ",2022-01-10,0 , 2,135000 , N/A , N/A
Google,L3,General,120000,"San Francisco, CA ",2022-01-09,0 , 2,120000 , 3 , N/A
Walmart Global Tech,L3,General,200000,"Sunnyvale, CA ",2022-01-05,0 , 2,150000 , 25000 , 25000
Wayfair,L2,Data,150000,"Boston, MA ",2022-01-05,1 , 2,140000 , N/A , 10000
Amazon,L5,scientist,267000,"Seattle, WA ",2021-12-30,2 , 2,160000 , 107000 , N/A
Amazon,L5,NLP,230000,"Irvine, CA ",2021-12-28,1 , 2,145000 , 40000 , 45000
6sense,L4,Product Analytics,150000,"San Francisco, CA ",2021-12-27,0 , 2,108000 , 28000 , 15000
Fidelity Investments,L3,Analyst,79000,"Merrimack, NH ",2021-12-26,2 , 2,64000 , N/A , 15000
Uber,L4,Data Science,262000,"San Francisco, CA ",2021-12-26,0 , 2,161000 , 78000 , 23000
Cruise,L4,General,345000,"San Francisco, CA ",2021-12-25,1 , 2,200000 , 85000 , 60000
Ernst and Young,Senior Consultant,Data Science,130000,"New York, NY ",2021-12-22,1 , 2,125000 , N/A , 5000
Doma,1,Data,200000,"Los Angeles, CA ",2021-12-21,0 , 2,150000 , 35000 , 15000
Barclays,BA4,Data Analysis,123000,"New York, NY ",2021-12-19,2 , 2,115000 , N/A , 8000
Indigo,L5,Geospatial,185000,"Boston, MA ",2021-12-17,2 , 2,155000 , 11000 , 19000
Zoom,ZP3,Data,255000,"San Jose, CA ",2021-12-13,1 , 2,150000 , 95000 , 10000
Boeing,L2,General,115000,"Seattle, WA ",2021-12-13,2 , 2,100000 , 5000 , 10000
Facebook,IC5,General,269000,"Seattle, WA ",2021-12-13,2 , 2,175000 , 68000 , 26000
Visa,Senior Data Scientist,general,231000,"Foster City, CA ",2021-12-10,2 , 2,180000 , 26000 , 25000
PwC,Associate,General,77000,"San Francisco, CA ",2021-12-10,2 , 2,70000 , N/A , 7000
Better Mortgage,L5,general,249000,"New York, NY ",2021-12-10,0 , 2,168000 , 60000 , 21000
EXL,C2,Analytics,116000,"New York, NY ",2021-12-09,0 , 2,92000 , N/A , 24000
Aetna,P2,General,141000,"New York, NY ",2021-12-08,2 , 2,134000 , N/A , 7000
Microsoft,63,Machine learning,222000,"Seattle, WA ",2021-12-08,2 , 2,168000 , 38000 , 17000
Uber,L4,ML,225000,"San Francisco, CA ",2021-12-08,2 , 2,150000 , 50000 , 25000
ByteDance,2-2,Data Scientist,232000,"San Francisco, CA ",2021-12-07,0 , 2,165000 , 45000 , 22000
Capital One,Senior Associate,Machine Learning,148000,"New York, NY ",2021-12-01,2 , 2,135000 , N/A , 13000
Bosch Global,E3,AI,175000,"Sunnyvale, CA ",2021-12-01,2 , 2,153000 , N/A , 22000
,L4,IT,80000,"Chicago, IL ",2021-11-29,2 , 2,70000 , N/A , 10000
IBM,Band 7,General,185000,"New York, NY ",2021-11-28,2 , 2,185000 , N/A , N/A
Zillow,P2,General,135000,"Seattle, WA ",2021-11-23,1 , 2,110000 , 15000 , 10000
Zillow,P2,General,173000,"Seattle, WA ",2021-11-20,1 , 2,135000 , 18000 , 20000
Facebook,IC4,Enterprise Product,244000,"Seattle, WA ",2021-11-19,2 , 2,164000 , 64000 , 16000
Uber,L3,ML/OR,213000,"Seattle, WA ",2021-11-19,2 , 2,138000 , 62000 , 14000
Microsoft,L59,Data Science,170000,"Seattle, WA ",2021-11-17,2 , 2,120000 , 30000 , 20000
Spotify,Data Scientist,General,154000,"New York, NY ",2021-11-16,2 , 2,124000 , 30000 , N/A
Amazon,L5,General,217000,"Seattle, WA ",2021-11-15,0 , 2,160000 , 37000 , 20000
Wells Fargo,L2,General,78000,"Denver, CO ",2021-11-12,2 , 2,71000 , N/A , 7000
Amazon,L4,General,170000,"Seattle, WA ",2021-11-12,0 , 2,125000 , 27000 , 18000
Facebook,IC4,Analytics,248000,"Menlo Park, CA ",2021-11-11,0 , 2,171000 , 60000 , 17000
Amazon,L5,General,214000,"Los Angeles, CA ",2021-11-08,2 , 2,150000 , 38000 , 26000
Autodesk,P2,Data science,150000,"San Francisco, CA ",2021-11-06,0 , 2,120000 , 20000 , 10000
Amazon,L4,General,157000,"Boston, MA ",2021-11-05,2 , 2,123000 , 18000 , 16000
JPMorgan Chase,601,NLP,124000,"New York, NY ",2021-11-04,2 , 2,110000 , N/A , 14000
Uber,L3,Data Analyst,130000,"San Francisco, CA ",2021-11-02,1 , 2,105000 , 13000 , 12000
Facebook,IC4,Product Analytics,245000,"New York, NY ",2021-11-02,0 , 2,168000 , 60000 , 17000
Microsoft,61,general,156000,"Redmond, WA ",2021-11-02,2 , 2,133000 , 11000 , 12000
Prudential Financial,10P,General,161000,"Newark, NJ ",2021-11-02,2 , 2,140000 , N/A , 21000
Facebook,L4,General,181000,"Menlo Park, CA ",2021-11-01,0 , 2,150000 , 16000 , 15000
Twitch,L4,Analytics,190000,"San Francisco, CA ",2021-11-01,0 , 2,139000 , 20000 , 31000
,L3,Modeler,101000,"Chicago, IL ",2021-11-01,1 , 2,96000 , N/A , 5000
Zynga,L2,Game Data Analyst,149000,"Austin, TX ",2021-10-31,0 , 2,110000 , 28000 , 11000
IBM,Band 6,machine learning,120000,"San Francisco, CA ",2021-10-29,2 , 2,120000 , N/A , N/A
Amazon,L5,BI,142000,"Seattle, WA ",2021-10-26,2 , 2,100000 , 42000 , N/A
Stitch Fix,L3,General,290000,"San Francisco, CA ",2021-10-19,2 , 2,190000 , 100000 , N/A
Dell Technologies,i7,general,105000,"Austin, TX ",2021-10-19,2 , 2,95000 , N/A , 10000
Microsoft,62,General,260000,"Redmond, WA ",2021-10-18,2 , 2,150000 , 90000 , 20000
Oracle,IC-2,Machine learning,135000,"Boston, MA ",2021-10-15,0 , 2,110000 , 25000 , N/A
Verisk,L1,Modeling,110000,"San Francisco, CA ",2021-10-15,2 , 2,100000 , N/A , 10000
Facebook,L4,Analytics,245000,"Menlo Park, CA ",2021-10-14,0 , 2,155000 , 50000 , 40000
Amazon,L5,General,254000,"Seattle, WA ",2021-10-11,0 , 2,160000 , 47000 , 47000
Facebook,L3,Full Stack,200000,"San Francisco, CA ",2021-10-11,0 , 2,200000 , N/A , N/A
Facebook,E4,Product Analytics,232000,"Menlo Park, CA ",2021-10-07,0 , 2,165000 , 50000 , 17000
NASA JPL,Data Scientist 1,Software development,114000,"Pasadena, CA ",2021-10-06,2 , 2,114000 , N/A , N/A
yahoo,IC2,Ads,198000,"San Jose, CA ",2021-10-04,2 , 2,150000 , 33000 , 15000
Coursera,Software Engineer II,General,383000,"Mountain View, CA ",2021-10-02,1 , 2,143000 , 240000 , N/A
Reddit,IC5,Data Science,315000,"New York, NY ",2021-09-29,0 , 2,230000 , 85000 , N/A
Ernst and Young,Senior Consultant,Technology Consultant,135000,"Austin, TX ",2021-09-28,0 , 2,125000 , N/A , 10000
IBM,Band 7,Client Facing,191000,"New York, NY ",2021-09-27,2 , 2,145000 , N/A , 46000
Amazon,L4,General,130000,"Seattle, WA ",2021-09-23,1 , 2,109000 , 11000 , 10000
Wayfair,L2,General,165000,"Boston, MA ",2021-09-22,2 , 2,150000 , N/A , 15000
