Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
,L6,Technical,200000,"New York, NY ",2022-03-09,1 , 8,200000 , N/A , N/A
Facebook,L5 Product Manager,Consumer,370000,"Menlo Park, CA ",2022-03-09,0 , 8,200000 , 125000 , 45000
Wayfair,L4,Product,141000,"Boston, MA ",2022-03-08,4 , 8,141000 , N/A , N/A
Humana,P4,Product,170000,"Boston, MA ",2022-03-08,3 , 8,148000 , N/A , 22000
Amazon,Principal Product Manager,Technical,260000,"Seattle, WA ",2022-03-07,8 , 8,160000 , 100000 , N/A
CACI International,L4,Product,270000,"Sunnyvale, CA ",2022-03-07,3 , 8,190000 , 60000 , 20000
Amazon,Senior Product Manager,Product,247000,"Seattle, WA ",2022-03-05,0 , 8,165000 , 39000 , 43000
Udemy,L5,ML,325000,"San Francisco, CA ",2022-03-04,0 , 8,195000 , 120000 , 10000
Facebook,L4,Growth,356000,"Menlo Park, CA ",2022-03-03,3 , 8,201000 , 125000 , 30000
Amazon,Senior Product Manager,Technical,271000,"Boston, MA ",2022-03-02,1 , 8,160000 , 64000 , 47000
Zendesk,L3,Analytic,192000,"San Francisco, CA ",2022-02-27,1 , 8,165000 , 25000 , 2000
Expedia,L,Technical,174000,"Seattle, WA ",2022-02-26,3 , 8,150000 , 18000 , 6000
Amazon,Senior Product Manager,Technical,311000,"Bellevue, WA ",2022-02-26,0 , 8,180000 , 77000 , 54000
Optum,28,Product,132000,"Chicago, IL ",2022-02-26,1 , 8,125000 , N/A , 7000
Macy's,L5,Product,350000,"New York, NY ",2022-02-25,2 , 8,275000 , 20000 , 55000
PayPal,T25,Product,209000,"San Francisco, CA ",2022-02-24,5 , 8,168000 , 25000 , 16000
Change Healthcare,Sr. Director,Product,213000,"Wheaton, IL ",2022-02-24,0 , 8,185000 , N/A , 28000
Amazon,Principal Product Manager,Product,475000,"San Francisco, CA ",2022-02-23,3 , 8,255000 , 220000 , N/A
Amazon,SDE II,Product,180000,"Los Angeles, CA ",2022-02-22,0 , 8,153000 , 16000 , 11000
Amplify,L3,Product,130000,"Brooklyn, NY ",2022-02-21,2 , 8,118000 , N/A , 12000
Amazon,Senior Product Manager,Product,210000,"Seattle, WA ",2022-02-20,1 , 8,145000 , 33000 , 32000
Noom,Senior Product Manager,Growth,317000,"New York, NY ",2022-02-20,1 , 8,190000 , 98000 , 29000
VMware,L3,Product,193000,"Palo Alto, CA ",2022-02-18,1 , 8,150000 , 18000 , 25000
ZipRecruiter,Director,Product,571000,"Palo Alto, CA ",2022-02-17,1 , 8,242000 , 275000 , 54000
Zendesk,L4,Product,308000,"San Francisco, CA ",2022-02-17,3 , 8,215000 , 78000 , 15000
Amazon,Senior Product Manager,Product,255000,"Seattle, WA ",2022-02-16,1 , 8,155000 , 100000 , N/A
NBCUniversal,Director,Product,213000,"New York, NY ",2022-02-14,2 , 8,185000 , N/A , 28000
Twilio,L4,Full Stack,300000,"Austin, TX ",2022-02-14,0 , 8,165000 , 135000 , N/A
Adobe,P4,Testing (SDET),285000,"San Jose, CA ",2022-02-12,2 , 8,180000 , 75000 , 30000
Dell Technologies,I9,Product,219000,"Austin, TX ",2022-02-12,0 , 8,180000 , 12000 , 27000
VMware,M3,Product,226000,"Boston, MA ",2022-02-11,3 , 8,176000 , 20000 , 30000
Amazon,Principal Product Manager,Consumer,383000,"Seattle, WA ",2022-02-11,6 , 8,160000 , 223000 , N/A
,Senior,Product,254000,"New York, NY ",2022-02-10,1 , 8,185000 , 50000 , 19000
Uber,Product Manager II,Consumer,293000,"San Francisco, CA ",2022-02-09,3 , 8,170000 , 100000 , 23000
PayPal,T26,Internal,291000,"Los Angeles, CA ",2022-02-08,1 , 8,174000 , 91000 , 26000
Walmart,L6,Product,400000,"San Bruno, CA ",2022-02-07,1 , 8,240000 , 100000 , 60000
Zillow,P4,Enterprise,230000,"Seattle, WA ",2022-02-07,1 , 8,190000 , N/A , 40000
,L5,Product,180000,"Mountain View, CA ",2022-02-02,2 , 8,138000 , 42000 , N/A
eBay,25,Product,218000,"San Jose, CA ",2022-02-02,0 , 8,180000 , 38000 , N/A
Morgan Stanley,N/A,Internal,165000,"New York, NY ",2022-02-02,4 , 8,145000 , N/A , 20000
Uber,Product Manager I,Product,420000,"San Francisco, CA ",2022-02-01,2 , 8,200000 , 180000 , 40000
Amazon,Senior Product Manager,Product,262000,"Seattle, WA ",2022-01-31,4 , 8,145000 , 117000 , N/A
