Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Facebook,IC4,Technical,139000,"Redmond, WA ",2022-03-09,2 , 7,126000 , 7000 , 6000
Facebook,IC6,Technical,302000,"San Francisco, CA ",2022-02-28,4 , 7,210000 , 50000 , 42000
Robinhood,L3,Technical,206000,"San Francisco, CA ",2022-02-24,0 , 7,182000 , 24000 , N/A
Google,L4,Technical,95000,"Austin, TX ",2022-02-15,1 , 7,95000 , N/A , N/A
Qualia,P4,Leadership,140000,"Austin, TX ",2022-02-14,1 , 7,140000 , N/A , N/A
Blend,IC5,Recruiting,235000,"San Francisco, CA ",2022-02-02,1 , 7,160000 , 75000 , N/A
Palo Alto Networks,P8,Sales,161000,"Santa Clara, CA ",2022-01-31,5 , 7,112000 , 38000 , 11000
Facebook,IC5,Technical,165000,"Chicago, IL ",2022-01-10,4 , 7,135000 , 10000 , 20000
DoorDash,P4,Technical,201000,"San Francisco, CA ",2022-01-06,1 , 7,160000 , 41000 , N/A
,L5,Sales Operations,153000,"Denver, CO ",2022-01-05,3 , 7,112000 , 41000 , N/A
Amazon,L5,Technical,142000,"Denver, CO ",2022-01-02,0 , 7,105000 , 23000 , 15000
Atlassian,P5,Technical,194000,"San Francisco, CA ",2022-01-02,1 , 7,143000 , 30000 , 21000
LegalZoom,L14,Technical,215000,"San Jose, CA ",2021-12-18,1 , 7,175000 , 20000 , 20000
Facebook,IC5,Technical,202000,"Redmond, WA ",2021-11-06,3 , 7,150000 , 30000 , 22000
Amazon,6,Technical,208000,"Seattle, WA ",2021-11-02,6 , 7,123000 , 85000 , N/A
Microsoft,L59,University,54000,"Redmond, WA ",2021-10-30,1 , 7,54000 , N/A , N/A
Highspot,Manager,Leadership,150000,"Seattle, WA ",2021-10-26,4 , 7,150000 , N/A , N/A
DoorDash,L6,Technical,275000,"San Francisco, CA ",2021-10-14,1 , 7,175000 , 100000 , N/A
Amazon,L5,Technical,190000,"San Francisco, CA ",2021-10-07,6 , 7,130000 , 60000 , N/A
Dropbox,IC2,Technical,114000,"Austin, TX ",2021-08-23,2 , 7,100000 , 8000 , 6000
Uber,4,Corporate,118000,"Chicago, IL ",2021-08-12,2 , 7,99000 , 8000 , 11000
Tesla,P2,Technical,104000,"Austin, TX ",2021-08-02,1 , 7,91000 , 13000 , N/A
Dropbox,L3,Technical,171000,"San Francisco, CA ",2021-07-19,2 , 7,140000 , 10000 , 21000
Indeed,L3,Technical,155000,"Austin, TX ",2021-07-12,3 , 7,125000 , 10000 , 20000
Facebook,IC5,Technical,260000,"San Francisco, CA ",2021-07-09,3 , 7,160000 , 50000 , 50000
Netflix,Only one level across Netflix,Technical,220000,"Los Angeles, CA ",2021-05-10,1 , 7,220000 , N/A , N/A
RSM US,Manager,Leadership,154000,"Los Angeles, CA ",2021-04-14,2 , 7,140000 , N/A , 14000
Facebook,IC5,Technical,230000,"San Francisco, CA ",2021-04-13,3 , 7,160000 , 40000 , 30000
Netflix,n/a,Technical,222000,"Los Gatos, CA ",2021-03-10,2 , 7,222000 , N/A , N/A
,Level,Technical,162000,"San Francisco, CA ",2020-11-30,3 , 7,145000 , N/A , 17000
DoorDash,P3,Operations,135000,"San Francisco, CA ",2020-11-05,0 , 7,120000 , 15000 , N/A
GitHub,L4,iOS,210000,"San Francisco, CA ",2020-10-30,2 , 7,160000 , 25000 , 25000
Relativity Space,Senior,ML / AI,115000,"Los Angeles, CA ",2020-10-29,1 , 7,110000 , 5000 , N/A
Facebook,L4,Technical,147000,"Boston, MA ",2020-10-26,1 , 7,120000 , 15000 , 12000
Airbnb,G9,G&A,200000,"San Francisco, CA ",2020-10-07,3 , 7,149000 , 30000 , 22000
,2-1,Marketing,180000,"Los Angeles, CA ",2020-10-07,1 , 7,136000 , 10000 , 34000
Apple,ICT3,DevOps,115000,"Austin, TX ",2020-10-06,2 , 7,110000 , 3000 , 2000
Amazon,L5,Tech Recruiting,114000,"Seattle, WA ",2020-09-22,2 , 7,90000 , 3000 , 22000
Facebook,IC5,Technical,210000,"San Francisco, CA ",2020-09-21,1 , 7,160000 , 25000 , 24000
Thumbtack,L5,Technical,150000,"San Francisco, CA ",2020-09-03,0 , 7,150000 , N/A , N/A
New Relic,L3,Sales,146000,"Boston, MA ",2020-09-02,2 , 7,128000 , 11000 , 6000
iHerb,L3,Technical,120000,"Irvine, CA ",2020-08-30,4 , 7,103000 , 15000 , 7000
Cruise,L4,Technical,180000,"San Francisco, CA ",2020-08-22,1 , 7,123000 , 20000 , 37000
Uber,L4,Operations,175000,"San Francisco, CA ",2020-08-19,2 , 7,141000 , 19000 , 15000
Amazon,L5,iOS,135000,"Boston, MA ",2020-08-12,1 , 7,90000 , 17000 , 28000
Twitter,L5,Other,165000,"San Francisco, CA ",2020-07-16,1 , 7,130000 , 15000 , 20000
Qualia,L4,Full Stack (Infra > mid > mobile,160000,"San Francisco, CA ",2020-07-16,1 , 7,150000 , 5000 , N/A
Amazon,L5,Distributed Systems (Back-End),120000,"Denver, CO ",2020-07-08,2 , 7,90000 , 30000 , N/A
Rally Health,M3,Recruiting,155000,"Denver, CO ",2020-07-06,2 , 7,130000 , 5000 , 20000
Flexport,P3,Recruiting,125000,"New York, NY ",2020-07-01,1 , 7,100000 , 15000 , 10000
Airbnb,9,R&D,275000,"San Francisco, CA ",2020-07-01,2 , 7,160000 , 100000 , 15000
