Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
WarnerMedia,L2,general,76000,"New York, NY ",2022-02-23,3 , 3,72000 , N/A , 4000
Facebook,IC3,Sales,133000,"Austin, TX ",2022-02-21,0 , 3,92000 , 10000 , 31000
IBM,8,General,120000,"New York, NY ",2022-02-18,3 , 3,120000 , N/A , N/A
Google,L2,Mobile Apps,137000,"San Francisco, CA ",2022-02-09,2 , 3,84000 , 18000 , 35000
DocuSign,P3,Public Sector,124000,"San Francisco, CA ",2022-02-03,3 , 3,62000 , N/A , 62000
Blend,IC4,Sales,220000,"San Francisco, CA ",2022-02-01,1 , 3,100000 , 20000 , 100000
Automation Anywhere,Senior,Sales,198000,"Boston, MA ",2022-01-31,1 , 3,158000 , 10000 , 30000
Wix.com,L3,General,142000,"New York, NY ",2022-01-29,2 , 3,72000 , 20000 , 50000
Amazon,L5,sales,135000,"Chicago, IL ",2022-01-28,0 , 3,110000 , 25000 , N/A
Google,L3,Looker,115000,"New York, NY ",2022-01-25,2 , 3,70000 , 11000 , 34000
BetterUp,NA,Post sales,130000,"San Francisco, CA ",2022-01-18,3 , 3,90000 , 5000 , 35000
Dell,S2,Saas,140000,"San Francisco, CA ",2022-01-17,3 , 3,112000 , N/A , 28000
Elastic,L1,Inside Cloud Sales,158000,"Austin, TX ",2022-01-11,0 , 3,75000 , 8000 , 75000
Amazon,L6,General,247000,"New York, NY ",2021-12-10,3 , 3,177000 , 70000 , N/A
Goldman Sachs,Associate,General,195000,"New York, NY ",2021-11-01,2 , 3,125000 , N/A , 70000
Google,L3,General,142000,"New York, NY ",2021-10-26,2 , 3,95000 , 14000 , 33000
IBM,Band 7,Cloud,155000,"Austin, TX ",2021-10-05,3 , 3,105000 , N/A , 50000
Amazon,L4,ISR,160000,"Seattle, WA ",2021-09-20,1 , 3,95000 , 20000 , 45000
Better Mortgage,L5,Fintech,175000,"San Francisco, CA ",2021-09-13,3 , 3,80000 , 15000 , 80000
Salesforce,Architect,Solution engineering,130000,"Chicago, IL ",2021-09-11,3 , 3,85000 , N/A , 45000
Google,L4,Sales,184000,"New York, NY ",2021-06-02,3 , 3,81000 , 22000 , 81000
HubSpot,L1,Sales,81000,"Boston, MA ",2021-03-20,3 , 3,76000 , 5000 , N/A
Microsoft,62,Full Stack,180000,"New York, NY ",2020-11-23,3 , 3,130000 , 11000 , 39000
Airbnb,L3,DevOps,160000,"San Francisco, CA ",2020-11-13,1 , 3,105000 , N/A , 55000
IBM,Band 7,Enterprise,145000,"New York, NY ",2020-10-26,3 , 3,80000 , N/A , 65000
Google,Account executive,Cloud,150000,"San Francisco, CA ",2020-10-22,3 , 3,100000 , 5000 , 50000
Vimeo,L1,sales,130000,"New York, NY ",2020-10-13,3 , 3,65000 , N/A , 65000
,L4,Field Sales,160000,"Seattle, WA ",2020-10-08,1 , 3,80000 , 15000 , 65000
Tesla,Sr. Sales Advisor,Internal,89000,"Fremont, CA ",2020-10-08,2 , 3,65000 , 6000 , 16000
Indeed,L2,Data,95000,"New York, NY ",2020-10-04,1 , 3,87000 , N/A , 8000
Google,L3,Account Management,120000,"Mountain View, CA ",2020-09-26,2 , 3,120000 , N/A , N/A
Amazon,L4,Growth,140000,"Seattle, WA ",2020-09-24,0 , 3,80000 , 10000 , 50000
,2,Data,90000,"San Francisco, CA ",2020-08-28,2 , 3,63000 , 4000 , 27000
Optiv,Client manager,Security,120000,"San Francisco, CA ",2020-08-20,1 , 3,90000 , N/A , 30000
Microsoft,61,Teams,165000,"New York, NY ",2020-08-07,3 , 3,122000 , 3000 , 40000
Yelp,Account executive,Sales,65000,"San Francisco, CA ",2020-07-31,1 , 3,50000 , N/A , 15000
Microsoft,61,Cloud Sales,230000,"New York, NY ",2020-07-27,1 , 3,120000 , 50000 , 60000
Wix.com,Associate,Sales,118000,"New York, NY ",2020-03-29,1 , 3,60000 , 8000 , 50000
