Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Microsoft,62,Networking,189000,"Redmond, WA ",2022-03-06,4 , 13,149000 , 20000 , 20000
General Motors,Software Engineer 3,DevOps,175000,"Sunnyvale, CA ",2022-03-05,3 , 13,160000 , N/A , 15000
Relativity,L4,API Development (Back-End),175000,"Chicago, IL ",2022-03-05,10 , 13,160000 , N/A , 15000
H-E-B,L4,API Development (Back-End),197000,"Austin, TX ",2022-03-05,3 , 13,171000 , N/A , 26000
Amazon,SDE II,Full Stack,201000,"Seattle, WA ",2022-03-02,11 , 13,141000 , 60000 , N/A
Google,L4,Distributed Systems (Back-End),256000,"Los Angeles, CA ",2022-03-02,3 , 13,151000 , 85000 , 20000
Amazon,L6,Testing (SDET),250000,"Sunnyvale, CA ",2022-02-28,5 , 13,157000 , 93000 , N/A
Squarespace,L5,Web Development (Front-End),310000,"New York, NY ",2022-02-27,10 , 13,260000 , 50000 , N/A
Microsoft,Senior SDE,API Development (Back-End),250000,"Redmond, WA ",2022-02-26,10 , 13,180000 , 50000 , 20000
FactSet,Principal Software Engineer,Distributed Systems (Back-End),245000,"Norwalk, CT ",2022-02-25,7 , 13,200000 , 25000 , 20000
Amazon,SDE III,Web Development (Front-End),520000,"Seattle, WA ",2022-02-23,8 , 13,160000 , 360000 , N/A
Color,L4,API Development (Back-End),690000,"San Francisco, CA ",2022-02-23,1 , 13,240000 , 400000 , 50000
Shopify,L5,Full Stack,170000,"Seattle, WA ",2022-02-22,0 , 13,145000 , 25000 , N/A
Microsoft,Senior SDE,Distributed Systems (Back-End),203000,"Redmond, WA ",2022-02-22,9 , 13,162000 , 22000 , 19000
ION,L5,Full Stack,85000,"Jersey City, NJ ",2022-02-21,11 , 13,82000 , N/A , 3000
Intel,Grade 8,Full Stack,250000,"Austin, TX ",2022-02-20,7 , 13,158000 , 25000 , 67000
Microsoft,Senior SDE,API Development (Back-End),265000,"Redmond, WA ",2022-02-19,0 , 13,149000 , 94000 , 22000
JPMorgan Chase,Vice President,Site Reliability (SRE),365000,"Chicago, IL ",2022-02-18,0 , 13,235000 , N/A , 130000
Dell Technologies,Principal Engineer,Web Development (Front-End),175000,"Round Rock, TX ",2022-02-18,0 , 13,155000 , 8000 , 12000
Uber,Senior Software Engineer II,Distributed Systems (Back-End),575000,"New York, NY ",2022-02-17,1 , 13,230000 , 300000 , 45000
Twilio,IC3,DevOps,202000,"Denver, CO ",2022-02-17,7 , 13,132000 , 70000 , N/A
Apple,ICT5,iOS,500000,"Cupertino, CA ",2022-02-16,6 , 13,200000 , 265000 , 35000
PayPal,T27,Web Development (Front-End),380000,"Seattle, WA ",2022-02-12,1 , 13,220000 , 120000 , 40000
Amazon,SDE III,Distributed Systems (Back-End),550000,"San Francisco, CA ",2022-02-10,10 , 13,185000 , 365000 , N/A
Barclays,L3,API Development (Back-End),165000,"New York, NY ",2022-02-09,1 , 13,155000 , N/A , 10000
Keysight,Principal,Security,149000,"Austin, TX ",2022-02-08,10 , 13,135000 , 4000 , 10000
Wayfair,L3,Distributed Systems (Back-End),220000,"Austin, TX ",2022-02-04,0 , 13,150000 , 55000 , 15000
Visa,Senior Staff Software Engineer,Mainframe developer,175000,"Austin, TX ",2022-02-04,7 , 13,140000 , 15000 , 20000
Socure,Staff Software Engineer,Mobile (iOS + Android),530000,"San Francisco, CA ",2022-02-04,0 , 13,300000 , 230000 , N/A
Snap,L6,Distributed Systems (Back-End),715000,"San Francisco, CA ",2022-02-04,2 , 13,235000 , 440000 , 40000
JPMorgan Chase,Vice President,Full Stack,340000,"New York, NY ",2022-02-04,5 , 13,210000 , N/A , 130000
Weedmaps,Senior,Full Stack,190000,"Irvine, CA ",2022-02-03,3 , 13,170000 , N/A , 20000
HPE,Expert,Web Development (Front-End),227000,"San Francisco, CA ",2022-02-02,3 , 13,187000 , 28000 , 12000
Socure,L3,iOS,270000,"San Francisco, CA ",2022-01-31,0 , 13,220000 , 50000 , N/A
HBO,L6,Full Stack,391000,"Seattle, WA ",2022-01-31,2 , 13,246000 , 100000 , 45000
Mindtree,C5,Full Stack,100000,"Redmond, WA ",2022-01-28,13 , 13,100000 , N/A , N/A
LinkedIn,Senior Software Engineer,Data,368000,"Sunnyvale, CA ",2022-01-28,2 , 13,207000 , 140000 , 21000
NTT DATA,L3,API Development (Back-End),150000,"Jersey City, NJ ",2022-01-28,7 , 13,130000 , N/A , 20000
Slalom,L4,API Development (Back-End),156000,"Seattle, WA ",2022-01-27,2 , 13,146000 , N/A , 10000
Amazon,6,Automation,192000,"Denver, CO ",2022-01-27,0 , 13,143000 , 8000 , 41000
Google,L5,Full Stack,338000,"Seattle, WA ",2022-01-25,4 , 13,179000 , 125000 , 34000
Google,L5,Distributed Systems (Back-End),323000,"San Francisco, CA ",2022-01-25,1 , 13,190000 , 100000 , 33000
Facebook,E5,Full Stack,299000,"San Francisco, CA ",2022-01-24,2 , 13,184000 , 88000 , 28000
Nordstrom,Sr Software Engineer,Full Stack,240000,"Seattle, WA ",2022-01-24,4 , 13,180000 , 5000 , 55000
Google,L6,Full Stack,615000,"San Francisco, CA ",2022-01-22,13 , 13,275000 , 80000 , 260000
LinkedIn,Distinguished Engineer,Full Stack,2549000,"Mountain View, CA ",2022-01-22,8 , 13,374000 , 2M , 140000
BitGo,L6,Blockchain,415000,"San Francisco, CA ",2022-01-21,1 , 13,235000 , 150000 , 30000
CommScope,L4,Telecom,144000,"Lowell, MA ",2022-01-20,9 , 13,126000 , N/A , 18000
Amazon,SDE II,Site Reliability (SRE),210000,"Seattle, WA ",2022-01-20,10 , 13,127000 , 83000 , N/A
MathWorks,L4,Full Stack,205000,"Natick, MA ",2022-01-20,11 , 13,175000 , N/A , 30000
Microsoft,62,Full Stack,204000,"Bellevue, WA ",2022-01-19,3 , 13,156000 , 23000 , 25000
Amazon,SDE II,Distributed Systems (Back-End),161000,"Seattle, WA ",2022-01-16,5 , 13,147000 , 14000 , N/A
Facebook,E5,iOS,372000,"Seattle, WA ",2022-01-14,6 , 13,210000 , 130000 , 32000
IBM,Senior Engineer,DevOps,190000,"New York, NY ",2022-01-12,1 , 13,160000 , N/A , 30000
Microsoft,SDE II,Full Stack,185000,"Seattle, WA ",2022-01-12,2 , 13,140000 , 31000 , 14000
Microsoft,Principal SDE,ML / AI,403000,"Bellevue, WA ",2022-01-11,5 , 13,193000 , 160000 , 50000
Salesforce,Lead MTS,Web Development (Front-End),341000,"New York, NY ",2022-01-10,0 , 13,240000 , 65000 , 36000
Amazon,SDE III,API Development (Back-End),270000,"Seattle, WA ",2022-01-07,10 , 13,160000 , 110000 , N/A
Roku,Senior,Testing (SDET),250000,"San Jose, CA ",2022-01-07,3 , 13,225000 , 25000 , N/A
Citizens Bank,Senior,Full Stack,155000,"Bedford, NH ",2022-01-07,1 , 13,135000 , N/A , 20000
NetApp,MTS VI,Data,320000,"San Jose, CA ",2022-01-06,0 , 13,220000 , 60000 , 40000
