Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Google,L3,General,185000,"Sunnyvale, CA ",2022-01-22,0 , 1,133000 , 32000 , 20000
ViacomCBS,L2,Privacy,100000,"New York, NY ",2021-11-29,0 , 1,100000 , N/A , N/A
SAP Concur,T2,Cloud,130000,"Seattle, WA ",2021-11-20,1 , 1,115000 , 5000 , 10000
Microsoft,60,Azure,150000,"Seattle, WA ",2021-10-18,1 , 1,120000 , 10000 , 20000
Enfusion,L1,Product Analyst,68000,"Chicago, IL ",2021-10-11,1 , 1,60000 , N/A , 8000
Microsoft,60,Cyber security,180000,"Redmond, WA ",2021-08-20,1 , 1,120000 , 40000 , 20000
Microsoft,59,Cloud Hardware Manufacturing,205000,"Redmond, WA ",2021-05-05,1 , 1,110000 , 70000 , 25000
Facebook,L3,Infrastructure,170000,"Menlo Park, CA ",2021-04-23,0 , 1,110000 , 40000 , 20000
Facebook,L3,Infra,133000,"Menlo Park, CA ",2021-02-10,1 , 1,116000 , 15000 , 3000
Amazon,L5,Tech,230000,"Sunnyvale, CA ",2020-11-10,1 , 1,160000 , 70000 , N/A
Apple,Unkown,Operations,180000,"Cupertino, CA ",2020-10-28,0 , 1,110000 , 50000 , 20000
Facebook,E3,Infrastructure,160000,"Menlo Park, CA ",2020-09-24,1 , 1,120000 , 25000 , 15000
Facebook,E3,Infrastructure,160000,"Menlo Park, CA ",2020-09-24,1 , 1,120000 , 25000 , 15000
Sisense,L1,Full Stack,120000,"San Francisco, CA ",2020-09-10,1 , 1,120000 , N/A , N/A
Microsoft,60,ML / AI,175000,"Seattle, WA ",2020-08-27,1 , 1,121000 , 40000 , 12000
Microsoft,L59,DevOps,141000,"Seattle, WA ",2020-08-18,1 , 1,111000 , 30000 , N/A
Facebook,L3,Server Infra,200000,"Menlo Park, CA ",2020-08-13,1 , 1,110000 , 55000 , 30000
Apple,ICT2,Retail Engineering,143000,"Sunnyvale, CA ",2020-07-01,1 , 1,110000 , 13000 , 20000
Facebook,IC4,Infrastructure,196000,"Menlo Park, CA ",2020-06-15,1 , 1,155000 , 25000 , 16000
Apple,ICT4,Distributed Systems (Back-End),200000,"Santa Clara, CA ",2020-05-15,0 , 1,175000 , 15000 , 10000
Microsoft,59,Security,199000,"Redmond, WA ",2020-05-13,1 , 1,109000 , 70000 , 20000
